[1] is money a lender or [2] receives for [3] out money.,Mortgage,lending,Interest,financial institution,Credit,loan,3,4,2
[1]expense or [2] is often expressed as a [3],Annual percentage rate,revenue,Monthly rate,Interest,Credit amount,Dollar amount,4,2,6
[1] is highly dependent on [2] dictated by the [3] Federal funds rate.,Financial policy,Federal Reserve's,Nibetary policy,Macroeconmic policy,Inflation,Interest,6,4,2
Interest is [1]a lender or [2] receives for [3].,Lending out money,Giving donations,the amount of money,Borrowing money,Finanical institution,Saving money,3,5,1
All else being equal interest and interest rates are [1] when there is [2]; as the lender faces a greater risk in the [3] not being able to make their payments.,Debited Leaser risk,Greater risk,Minimal risk,Higher,Insignificant risk,Borrower,4,2,6
[1] is a set rate on the [2] originally lent to the [3] that the borrower has to pay for the ability to use the money.,Compoun interest,Principal,Earned interest,Borrower,Complex interest,Simple interest,6,2,4
[1] is interest on both the [2] and the [3] interest paid on that loan.,Compound interest,Simple interest,Principal,Complex interest,Compounding,Earned interest,1,3,5
A [1] rate loan is a loan where the [2] on the outstanding balance fluctuates based on an [3] or index that periodically changes.,Mortgage,Variable interest,Simple interest,Interest charged,Compound interest,Underlying benchmark,2,4,6
A [1] rate loan is a loan where the [3] on the loan [2] the same for the life of the loan.,Fixed interest,Compound,Remains,Variable interest,Interest rate,Mortgage,1,3,5
When [1] rates rise [2] who hold a variable rate loan will find the amount due on their loan payments also[3].,Interest,Profit,Borrowers,Loan,Increases,Treasury bill,1,3,5
